Training_Id,File
28,tests/tests/hardware/src/android/hardware/camera2/cts/testcases/Camera2SurfaceViewTestCase.java
32,hostsidetests/net/app/src/com/android/cts/net/hostside/VpnTest.java
251,cryptfs.c
251,Ext4Crypt.cpp
399,libs/hwui/PathCache.cpp
399,libs/hwui/PathCache.h
544,core/java/android/widget/Editor.java
739,apps/CtsVerifier/src/com/android/cts/verifier/camera/video/CameraVideoActivity.java
952,res/values-de/strings.xml
1098,tests/uiautomator/src/com/android/cts/uiautomatortest/CtsUiAutomatorTest.java
1116,TEST_FILE
1151,core/java/android/app/ActivityThread.java
1236,media/libstagefright/rtsp/MyHandler.h
1304,core/java/android/view/ViewRootImpl.java
1555,src/com/android/music/MediaPlaybackService.java
1734,src/com/android/datetimepicker/date/DatePickerDialog.java
1734,src/com/android/datetimepicker/date/DayPickerView.java
1829,services/java/com/android/server/am/ActivityManagerService.java
1898,uevent/uevent.c
1953,telephony/java/android/telephony/PhoneNumberFormattingTextWatcher.java
2058,keystore/keystore.cpp
2401,services/java/com/android/server/net/LockdownVpnTracker.java
2468,hierarchyviewer2/hierarchyviewer2lib/src/main/java/com/android/hierarchyviewerlib/ui/EvaluateContrastDisplay.java
2468,hierarchyviewer2/hierarchyviewer2lib/src/main/java/com/android/hierarchyviewerlib/HierarchyViewerDirector.java
2496,services/java/com/android/server/InputMethodManagerService.java
2496,core/java/android/view/inputmethod/InputMethodManager.java
2657,core/combo/HOST_windows-x86.mk
2657,core/definitions.mk
2766,media/libeffects/preprocessing/PreProcessing.cpp
2813,media/java/android/media/AudioFormat.java
2813,media/java/android/media/AudioTrack.java
2813,media/java/android/media/AudioRecord.java
2836,core/java/android/content/pm/PackageParser.java
2836,services/java/com/android/server/pm/PackageManagerService.java
2836,core/java/android/content/pm/ApplicationInfo.java
2950,media/libmedia/AudioParameter.cpp
3034,tests/tests/text/src/android/text/method/cts/TouchTest.java
3125,arch/arm/mach-tegra/include/mach/smc_sip.h
3412,src/com/android/launcher2/Launcher.java
3412,Android.mk
3585,core/java/android/widget/ListView.java
3850,drivers/gpu/ion/ion_carveout_heap.c
3992,telephony/sim_card.c
3992,telephony/modem_driver.h
3992,qemu-char.c
3992,android/hw-qemud.c
3992,telephony/modem_driver.c
3992,net-android.c
3992,telephony/android_modem.h
3992,telephony/sim_card.h
3992,vl-android.c
3992,android/protocol/core-commands-qemu.c
3992,telephony/android_modem.c
3992,telephony/remote_call.c
3992,android/console.c
4073,tests/tests/os/src/android/os/cts/BuildTest.java
4073,tests/src/android/os/cts/CpuFeatures.java
4098,arch/arm/mach-omap2/omap4_ion.c
4120,arch/x86/configs/vbox_defconfig
4241,gfxapi/templates/cpp_common.tmpl
4241,tools/copyright/embed.go
4241,api/apic/template/format.go
4241,tools/copyright/generated_aosp_c
4360,test/474-fp-sub-neg/expected.txt
4360,test/474-fp-sub-neg/info.txt
4360,test/474-fp-sub-neg/src/Main.java
4360,compiler/optimizing/instruction_simplifier.cc
4401,adb/Android.mk
4401,fastboot/Android.mk
4551,adb/Android.mk
4551,adb/usb_osx.cpp
4641,libcutils/fs_config.c
4680,android/annotations/android/content/annotations.xml
4772,healthd/healthd_mode_charger.cpp
4807,jack/Android.mk
4843,rsScript.h
4843,cpu_ref/rsd_cpu.h
4843,rsScriptC_Lib.cpp
4843,driver/rsdRuntimeStubs.cpp
4843,cpu_ref/rsCpuScript.h
4843,driver/rsdBcc.cpp
4843,rsRuntime.h
4843,cpu_ref/rsCpuScript.cpp
4869,Blueprints
4869,gen-blueprints.py
5029,security/selinux/nlmsgtab.c
5073,test/469-uninitialized-locals/expected.txt
5073,test/469-uninitialized-locals/info.txt
5073,test/469-uninitialized-locals/smali/Test.smali
5073,test/469-uninitialized-locals/src/Main.java
5095,keystore/java/android/security/EcIesParameterSpec.java
5138,cmds/installd/installd.cpp
5138,cmds/installd/Android.mk
5138,cmds/installd/installd.h
5138,cmds/installd/utils.cpp
5138,cmds/installd/commands.cpp
5160,test/458-checker-instruction-simplification/src/Main.java
5160,compiler/optimizing/instruction_simplifier.cc
5170,minui/Android.mk
5170,minui/minui.h
5170,minui/events.cpp
5170,minui/events.c
5345,android/src/com/android/tools/swing/layoutlib/GraphicsLayoutRenderer.java
5446,build.xml
5446,jack-tests/tests/com/android/jack/frontend/test005/jack/B.java
5446,jack-tests/tests/com/android/jack/frontend/test006/jack/A.java
5446,jack-tests/tests/com/android/jack/AllTests.java
5446,jack/tests/com/android/jack/frontend/OrderedInputFilter.java
5446,jack-tests/tests/com/android/jack/frontend/test006/jack/B.java
5446,jack/src/com/android/jack/frontend/java/JavaParser.java
5446,jack/src/com/android/jack/incremental/CommonFilter.java
5446,jack-tests/.classpath
5446,jack-tests/tests/com/android/jack/frontend/ParserTest.java
5446,jack-tests/tests/com/android/jack/frontend/test005/jack/A.java
5489,android/src/com/android/tools/idea/profiling/view/CapturesToolWindow.java
5521,radio.te
5521,bluetooth.te
5521,nfc.te
5521,platform_app.te
5521,system_server.te
5521,service.te
5521,untrusted_app.te
5521,system_app.te
5551,services/core/java/com/android/server/wm/WindowManagerService.java
5558,android/src/org/jetbrains/android/run/AndroidRunningState.java
5569,jill/src/com/android/jill/Main.java
5733,android/src/org/jetbrains/android/inspections/lint/DomPsiParser.java
5733,android/src/org/jetbrains/android/inspections/lint/DomPsiConverter.java
5737,lint/libs/lint-checks/src/main/java/com/android/tools/lint/checks/AlarmDetector.java
5737,lint/libs/lint-checks/src/main/java/com/android/tools/lint/checks/BuiltinIssueRegistry.java
5737,lint/cli/src/test/java/com/android/tools/lint/checks/AlarmDetectorTest.java
5737,lint/cli/src/test/java/com/android/tools/lint/checks/data/src/test/pkg/AlarmTest.java.txt
5871,cc/builder.go
5899,liblog/tests/Android.mk
5899,toolbox/Android.mk
5899,logd/tests/Android.mk
5899,libion/tests/Android.mk
5899,libziparchive/Android.mk
5899,logcat/tests/Android.mk
5899,adb/Android.mk
5899,libsync/tests/Android.mk
5899,libutils/tests/Android.mk
5923,core/Makefile
